customer_id,customer_name,age,membership_tier,signup_date
1000,Customer_1000,37,Bronze,2023-07-30
1001,Customer_1001,35,Bronze,2023-06-10
1002,Customer_1002,27,Bronze,2023-09-12
1003,Customer_1003,42,Gold,2023-02-28
1004,Customer_1004,19,Silver,2023-04-24
1005,Customer_1005,42,Silver,2023-06-09
1006,Customer_1006,78,Gold,2023-08-08
1007,Customer_1007,71,Bronze,2023-12-23
1008,Customer_1008,50,Silver,2023-06-18
1009,Customer_1009,53,Silver,2023-01-12
1010,Customer_1010,48,Gold,2023-08-30
1011,Customer_1011,31,Bronze,2023-05-19
1012,Customer_1012,18,Silver,2023-04-07
1013,Customer_1013,63,Bronze,2023-05-27
1014,Customer_1014,33,Silver,2023-07-01
1015,Customer_1015,71,Gold,2023-02-26
1016,Customer_1016,63,Bronze,2023-02-11
1017,Customer_1017,78,Gold,2023-12-20
1018,Customer_1018,69,Silver,2023-07-18
1019,Customer_1019,20,Gold,2023-01-31
1020,Customer_1020,52,Gold,2023-06-29
1021,Customer_1021,58,Gold,2023-01-02
1022,Customer_1022,23,Silver,2023-10-15
1023,Customer_1023,42,Bronze,2023-05-18
1024,Customer_1024,30,Gold,2023-04-15
1025,Customer_1025,70,Bronze,2023-08-06
1026,Customer_1026,51,Silver,2023-08-10
1027,Customer_1027,25,Bronze,2023-11-27
1028,Customer_1028,38,Gold,2023-04-15
1029,Customer_1029,51,Gold,2023-05-07
1030,Customer_1030,21,Gold,2023-09-22
1031,Customer_1031,42,Gold,2023-07-19
1032,Customer_1032,32,Gold,2023-09-09
1033,Customer_1033,21,Gold,2023-01-15
1034,Customer_1034,62,Silver,2023-08-14
1035,Customer_1035,77,Silver,2023-12-19
1036,Customer_1036,29,Silver,2023-04-15
1037,Customer_1037,49,Bronze,2023-08-21
1038,Customer_1038,49,Bronze,2023-11-15
1039,Customer_1039,45,Silver,2023-08-07
1040,Customer_1040,30,Bronze,2023-10-04
1041,Customer_1041,48,Bronze,2023-09-18
1042,Customer_1042,31,Gold,2023-12-07
1043,Customer_1043,37,Gold,2023-12-02
1044,Customer_1044,35,Bronze,2023-07-09
1045,Customer_1045,46,Bronze,2023-07-17
1046,Customer_1046,77,Silver,2023-12-19
1047,Customer_1047,23,Bronze,2023-10-04
1048,Customer_1048,49,Gold,2023-12-02
1049,Customer_1049,46,Bronze,2023-02-08
1050,Customer_1050,60,Silver,2023-06-11
1051,Customer_1051,79,Gold,2023-05-01
1052,Customer_1052,19,Gold,2023-09-19
1053,Customer_1053,77,Gold,2023-08-04
1054,Customer_1054,40,Gold,2023-11-08
1055,Customer_1055,36,Bronze,2023-02-18
1056,Customer_1056,48,Silver,2023-04-02
1057,Customer_1057,68,Bronze,2023-05-09
1058,Customer_1058,22,Bronze,2023-11-17
1059,Customer_1059,36,Gold,2023-01-28
1060,Customer_1060,51,Silver,2023-12-22
1061,Customer_1061,27,Gold,2023-05-28
1062,Customer_1062,42,Bronze,2023-11-24
1063,Customer_1063,19,Bronze,2023-03-06
1064,Customer_1064,79,Gold,2023-08-06
1065,Customer_1065,28,Bronze,2023-02-20
1066,Customer_1066,67,Bronze,2023-11-01
1067,Customer_1067,78,Gold,2023-03-15
1068,Customer_1068,48,Bronze,2023-07-18
1069,Customer_1069,73,Silver,2023-07-11
1070,Customer_1070,32,Gold,2023-07-08
1071,Customer_1071,26,Silver,2023-01-12
1072,Customer_1072,40,Bronze,2023-08-27
1073,Customer_1073,36,Bronze,2023-12-26
1074,Customer_1074,26,Gold,2023-03-22
1075,Customer_1075,52,Bronze,2023-09-27
1076,Customer_1076,38,Gold,2023-10-17
1077,Customer_1077,26,Gold,2023-02-17
1078,Customer_1078,45,Gold,2023-11-13
1079,Customer_1079,79,Gold,2023-07-28
1080,Customer_1080,63,Gold,2023-02-04
1081,Customer_1081,68,Silver,2023-04-29
1082,Customer_1082,24,Gold,2023-03-06
1083,Customer_1083,33,Silver,2023-11-11
1084,Customer_1084,33,Bronze,2023-08-30
1085,Customer_1085,77,Gold,2023-02-05
1086,Customer_1086,50,Bronze,2023-09-09
1087,Customer_1087,21,Gold,2023-08-31
1088,Customer_1088,21,Silver,2023-02-11
1089,Customer_1089,56,Silver,2023-03-10
1090,Customer_1090,57,Silver,2023-04-17
1091,Customer_1091,34,Bronze,2023-02-08
1092,Customer_1092,54,Gold,2023-03-10
1093,Customer_1093,56,Bronze,2023-06-29
1094,Customer_1094,77,Silver,2023-01-12
1095,Customer_1095,69,Bronze,2023-12-05
1096,Customer_1096,46,Silver,2023-07-23
1097,Customer_1097,69,Silver,2023-02-05
1098,Customer_1098,53,Silver,2023-05-06
1099,Customer_1099,77,Gold,2023-03-04
1100,Customer_1100,55,Gold,2023-11-28
1101,Customer_1101,56,Silver,2023-03-23
1102,Customer_1102,67,Bronze,2023-11-03
1103,Customer_1103,54,Bronze,2023-10-26
1104,Customer_1104,69,Gold,2023-02-03
1105,Customer_1105,79,Silver,2023-08-28
1106,Customer_1106,78,Bronze,2023-04-07
1107,Customer_1107,52,Silver,2023-02-18
1108,Customer_1108,24,Bronze,2023-05-26
1109,Customer_1109,44,Gold,2023-05-05
1110,Customer_1110,45,Silver,2023-07-08
1111,Customer_1111,39,Silver,2023-02-26
1112,Customer_1112,31,Bronze,2023-12-15
1113,Customer_1113,24,Bronze,2023-04-19
1114,Customer_1114,54,Bronze,2023-01-05
1115,Customer_1115,78,Silver,2023-01-24
1116,Customer_1116,39,Gold,2023-08-09
1117,Customer_1117,22,Gold,2023-11-11
1118,Customer_1118,79,Bronze,2023-10-21
1119,Customer_1119,72,Gold,2023-01-10
1120,Customer_1120,19,Bronze,2023-06-14
